DATE,TIME PERIOD,(LFSI.M.AT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BG.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CY.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.EE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.ES.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GB.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LV.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.MT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.NL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.RO.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.U2.N.UNEHRT.TOTAL0.15_74.T)
1991-01-31,1991Jan,,6.520575,,,,,7.861618,,15.408056,4.113747,,7.656948,,,,14.036160,8.748267,,1.759225,,,6.113218,,,,2.626965,,,
1991-02-28,1991Feb,,6.431125,,,,,8.091609,,15.437920,4.536241,,7.895543,,,,14.312468,8.759387,,1.691875,,,6.282751,,,,2.726433,,,
1991-03-31,1991mar,,6.252059,,,,,8.196352,,15.336641,5.246058,,8.236443,,,,14.450748,8.641204,,1.511267,,,6.239827,,,,2.715599,,,
1991-04-30,1991Apr,,6.053509,,,,,8.045796,,15.185772,6.682046,,8.449852,,,,14.570171,8.453976,,1.465915,,,5.819207,,,,2.684260,,,
1991-05-31,1991May,,5.930437,,,,,7.675168,,15.006652,9.090565,,8.492821,,,,14.504412,8.349601,,1.487803,,,5.696316,,,,2.435098,,,
1991-06-30,1991Jun,,5.891191,,,,,7.441036,,15.113116,5.902236,,8.485802,,,,14.696611,8.282629,,1.473454,,,5.712439,,,,2.483930,,,
1991-07-31,1991Jul,,6.270232,,,,,7.361694,,15.265655,5.905541,,8.905794,,,,15.167131,8.234629,,1.484514,,,5.143898,,,,3.167856,,,
1991-08-31,1991Aug,,6.749966,,,,,7.716236,,15.434357,6.233705,,9.099593,,,,15.394442,8.324708,,1.564075,,,5.248020,,,,3.526233,,,
1991-09-30,1991Sep,,6.825470,,,,,7.808470,,15.755532,7.449868,,9.040290,,,,15.206125,8.416859,,1.663938,,,5.547053,,,,3.543903,,,
1991-10-31,1991Oct,,6.793798,,,,,7.916295,,16.027383,7.677126,,8.868326,,,,14.860259,8.667752,,1.774515,,,5.618682,,,,3.583495,,,
1991-11-30,1991Nov,,6.770858,,,,,8.021941,,16.014717,8.024138,,8.910249,,,,14.765457,8.800950,,1.858022,,,5.622715,,,,3.718207,,,
1991-12-31,1991Dec,,6.790529,,,,,8.133356,,16.114781,8.646359,,9.089699,,,,14.956963,8.613714,,1.885242,,,5.284827,,,,4.100813,,,
1992-01-31,1992Jan,,6.852404,,,,,8.784949,,16.385816,10.257241,,9.425421,,,,15.261775,8.718852,,2.006112,,,5.857507,,,,4.691228,,,
1992-02-29,1992Feb,,6.800226,,,,,8.881171,,16.529638,10.208111,,9.439208,,,,15.382602,8.919178,,2.144040,,,6.068627,,,,4.848388,,,
1992-03-31,1992mar,,6.678246,,,,,8.876783,,16.573917,10.549939,,9.392108,,,,15.334887,8.876072,,2.095464,,,6.057284,,,,5.010668,,,
1992-04-30,1992Apr,,6.595136,,,,,8.659705,,16.403623,11.656442,,9.526038,,,,15.285837,8.624259,,2.032626,,,5.707095,,,,4.845482,,,
1992-05-31,1992May,,6.526016,,,,,8.282183,,16.165909,13.541828,,9.507525,,,,15.026940,8.497324,,1.943098,,,5.652162,,,,5.202527,,,
1992-06-30,1992Jun,,6.528669,,,,,7.952979,,16.292480,11.624525,,9.801274,,,,15.034405,8.505499,,1.861501,,,5.685732,,,,5.059720,,,
1992-07-31,1992Jul,,6.958133,,,,,7.919975,,16.448306,10.597919,,9.991203,,,,15.542436,8.662737,,1.892109,,,5.176704,,,,5.839991,,,
1992-08-31,1992Aug,,7.472388,,,,,8.387081,,16.711916,11.530013,,10.008540,,,,15.832143,8.778027,,1.963546,,,5.365171,,,,6.324972,,,
1992-09-30,1992Sep,,7.604325,,,,,8.492039,,17.348375,11.808389,,9.951318,,,,15.719110,8.894960,,2.112800,,,5.724888,,,,5.956578,,,
1992-10-31,1992Oct,,7.607303,,,,,8.651688,,18.015308,12.684654,,10.014746,,,,15.413395,9.014331,,2.244584,,,5.876838,,,,6.100304,,,
